epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16777.4,1.24528,0.99605,1.21291,0.69073,0.68356,0.71225,0.4116,1.43244,1.25794,1.40931,0.0017294,0.0017294,0.0017294
43,17057.8,1.19391,0.98493,1.19571,0.77777,0.60606,0.69827,0.41052,1.47184,1.22725,1.44166,0.0017228,0.0017228,0.0017228
44,17334.6,1.20327,0.97225,1.19636,0.74596,0.60508,0.70081,0.4118,1.45118,1.35954,1.41481,0.0017162,0.0017162,0.0017162
45,17607.8,1.18489,0.94464,1.19978,0.77568,0.57576,0.69091,0.41543,1.44481,1.24458,1.37652,0.0017096,0.0017096,0.0017096
46,17895.1,1.18628,0.98664,1.20251,0.7519,0.62424,0.70043,0.42399,1.43758,1.26693,1.40826,0.001703,0.001703,0.001703
47,18198,1.20176,0.95847,1.22353,0.72581,0.60909,0.68658,0.4056,1.48648,1.24479,1.42209,0.0016964,0.0016964,0.0016964
48,18500,1.24686,0.97665,1.21634,0.79204,0.62322,0.73917,0.43951,1.44574,1.22512,1.41265,0.0016898,0.0016898,0.0016898
49,18799.7,1.18084,0.94067,1.20396,0.76956,0.67879,0.7357,0.42965,1.46051,1.11512,1.42117,0.0016832,0.0016832,0.0016832
50,19103.1,1.19123,0.92282,1.20595,0.73098,0.60107,0.68259,0.39932,1.50352,1.23051,1.45147,0.0016766,0.0016766,0.0016766
51,19431.2,1.1804,0.95065,1.2134,0.83036,0.57848,0.71557,0.42386,1.43973,1.18862,1.43276,0.00167,0.00167,0.00167
52,19820.5,1.18241,0.89569,1.18149,0.75261,0.64848,0.73323,0.43576,1.43879,1.16348,1.39853,0.0016634,0.0016634,0.0016634
53,20184.5,1.20071,0.96861,1.2715,0.69901,0.64848,0.70766,0.42885,1.40709,1.19587,1.38518,0.0016568,0.0016568,0.0016568
54,20541.9,1.14634,0.88905,1.16889,0.73908,0.6303,0.73295,0.44451,1.41766,1.14786,1.39797,0.0016502,0.0016502,0.0016502
55,20896.3,1.18507,0.97673,1.23296,0.77433,0.63636,0.73251,0.43418,1.41779,1.23011,1.40019,0.0016436,0.0016436,0.0016436
56,21222.5,1.14304,0.86486,1.18708,0.74903,0.63333,0.71332,0.4164,1.48147,1.22275,1.43315,0.001637,0.001637,0.001637
57,21579,1.12614,0.87493,1.16993,0.78372,0.62424,0.72649,0.42279,1.50146,1.22025,1.44983,0.0016304,0.0016304,0.0016304
58,21958.6,1.11766,0.88923,1.15776,0.75388,0.60333,0.69445,0.41831,1.40435,1.32545,1.37527,0.0016238,0.0016238,0.0016238
59,22341.3,1.16698,0.89344,1.17983,0.70173,0.63333,0.70677,0.42699,1.43049,1.23932,1.40781,0.0016172,0.0016172,0.0016172
60,22744.8,1.19237,0.95917,1.22395,0.78679,0.63636,0.72369,0.4294,1.43903,1.2246,1.39873,0.0016106,0.0016106,0.0016106
61,23107.2,1.1258,0.82345,1.15287,0.76731,0.63953,0.71219,0.43763,1.42111,1.17193,1.40515,0.001604,0.001604,0.001604
62,23448,1.13093,0.82683,1.16326,0.78407,0.64242,0.7265,0.44437,1.41664,1.16456,1.40426,0.0015974,0.0015974,0.0015974
